,profile_linkedin_id,rank_order,similarity_degree,user_url
19,ACoAAAqTPXABFD45jDSEq-34TWhWzt13f6tT0-o,19,1.2163416356440497,https://www.linkedin.com/in/jimmy-roy-7005024b
72,ACoAAABkcsoBef_gSyLJjuh6UtgdR77_Xv6-C88,72,1.2141197243782675,https://www.linkedin.com/in/andré-gagnon-7222552
55,ACoAAADV9UUB5tOMUoNEoFqbKfbQM2AjAqTV0JQ,55,1.2119594227700479,https://www.linkedin.com/in/geraldlonlas
66,ACoAAAMZbgEBWuykvPezEOlirldF12vyN2lF-Xw,66,1.2097645617295427,https://www.linkedin.com/in/mohsinlone
12,ACoAAAo4oZ4BBeaRSwLI-Sbgq2XHbtMIswblwg8,12,1.2068711943854518,https://www.linkedin.com/in/nancyverdon
10,ACoAAAOHVKwBc99sKIUx59YdqdlG3OGVhMmas1w,10,1.204245249472806,https://www.linkedin.com/in/aayushkad
6,ACoAAADfrRsBgGj_bg7odTFDxoJOVZ2QN1SdPz8,6,1.2028953633642048,https://www.linkedin.com/in/hasmikatoyan
79,ACoAAAITEYIBpTFBVYRWgyEm7qikQLP5uGX8R5w,79,1.1969828644938898,https://www.linkedin.com/in/alexandrecayla
74,ACoAAAAHrxYBsgdmHJD9c1lGapApU6nMxQjwLWo,74,1.1925147224397887,https://www.linkedin.com/in/mohitsantram
20,ACoAAABj338Bst1WQAirNBVNOQEjFJrqYbcIbmE,20,1.1913898337878315,https://www.linkedin.com/in/adylee
41,ACoAAAQ-FVoBln6Y5_GT4Ejn5vgjoVhrC8KgCnQ,41,1.1907256968709266,https://www.linkedin.com/in/sarah-favalaro-cspo®-876a061b
81,ACoAAANBjIcBXfKx1r3cmFz1cGrrvyBoaQAJVy4,81,1.1905485403880998,https://www.linkedin.com/in/rolandesaliba
80,ACoAAABJt28BxfZQZdVfEXlwp4rRBM-8bMXX2yU,80,1.1892730920153476,https://www.linkedin.com/in/eliglynn
93,ACoAAAPHqGEBPNNQGW-OBzy_a0To9Hbe2nmW6LA,93,1.1847537242511612,https://www.linkedin.com/in/nadiarilosfaye
23,ACoAAAF-T_kBro1NSGkRYBeVpMUMQf552AN_M5I,23,1.1840422873288599,https://www.linkedin.com/in/chris-sinanan-6754838
40,ACoAAAGN_9QBVs5w2D3D7hkcasDz6U9SkV6aw-U,40,1.1801933189653664,https://www.linkedin.com/in/khalillaghari
90,ACoAAAG9cPEB2kLntcgeOQrvWR2XYWNqrm8d4Vg,90,1.1664379450278481,https://www.linkedin.com/in/jslim
36,ACoAAACC5dYB2L8zmBeh94O3iLjAckiVsxkFDhM,36,1.164273272671436,https://www.linkedin.com/in/tamsin-jackson-506a582
71,ACoAAA0_-T4BNxPH_8wsTLOljX4fHywY1XgouAk,71,1.1628587659454062,https://www.linkedin.com/in/frederictre
39,ACoAAAhxczgBL1ba_rwtc9svApOajdVASosV2XA,39,1.1544217253247422,https://www.linkedin.com/in/stamga
99,ACoAAAEy0YUB6QpBTViozIeZiqSLxJC-g0q0TVU,99,1.152999231571348,https://www.linkedin.com/in/jeremymanna
92,ACoAAAVay5EBk8Ka5bQ5cypHPvzlSflXBms29Lo,92,1.1523038432786326,https://www.linkedin.com/in/anick-redburn
2,ACoAAAa7Lz8B18qsEy9pWoxmXT26vJ9vYiQbJBA,2,1.1479505170357704,https://www.linkedin.com/in/pierre-travade
61,ACoAAABJ_4kBbtQOex-4M8osuLpa0Co6h6WKDNA,61,1.1401294818770964,https://www.linkedin.com/in/marshainteractive
27,ACoAAAZpiNABfNH4iUmdO0Ac9nSBFNJzzKOgUCU,27,1.1378204837166954,https://www.linkedin.com/in/mathieuroymba
51,ACoAABTUx0EBVx1tR5Sg1HP_KQWkZHARLUbX8AA,51,1.1355093935511225,https://www.linkedin.com/in/robertoyebenespaniagua
87,ACoAAAABzhEBTP3Wn6zgGQGW_2jZMyJZGAaJ260,87,1.1318421535903402,https://www.linkedin.com/in/dennis-schleicher
4,ACoAAADfIoMBlTxm96u2LKIbLJ4JiniF32vtzbE,4,1.1281981737681326,https://www.linkedin.com/in/pradeep-raghupatruni-717a924
32,ACoAAAEK0RIBqCLSRWUcwrsIgabYDbPpU7idBh4,32,1.1168340621777213,https://www.linkedin.com/in/eugenia-bakchinow-32aa335
46,ACoAAAGGLrwB4j0V0HmeyOTqso6pLgZBoo4I0Ww,46,1.1150610347199934,https://www.linkedin.com/in/singhrahul87
43,ACoAAACwDkIBiyw_6JO078ItUaHeIbg9aFiK0EE,43,1.0969858899176697,https://www.linkedin.com/in/annelaboissonniere
85,ACoAAA0zhFoBW7wGZcyCZXkul3FRgdWJZpwtlRg,85,1.087935195649368,https://www.linkedin.com/in/tylermooreosu
75,ACoAAANj32sBvhVnuKmyw8CMnH8PlLzt7rNDadk,75,1.0876362722569042,https://www.linkedin.com/in/dmastrop
73,ACoAAAHY-tYB_MEwgEzCd53KsQpHCck7XifWLFs,73,1.0874569236341172,https://www.linkedin.com/in/marianarezende
52,ACoAAAAec84BrAtXIb6o2VKrC4u6pMoWbsSR7jQ,52,1.0720185476234336,https://www.linkedin.com/in/coreystern
48,ACoAAAj-Y6EB0vHmMdXaLVtLaz5U1ZFhAbK8Y24,48,1.0710037173278029,https://www.linkedin.com/in/vallerenata
57,ACoAABHirscB6zBpHbhohQMvD8GnHWvbqFG3rRM,57,1.0657953440367172,https://www.linkedin.com/in/jimmydesantis
22,ACoAAAICetoB8ee4X-Uav293xIgOFflLscXzRjY,22,1.0627825754297746,https://www.linkedin.com/in/kelvinchpoon
31,ACoAAAJA_owBN_q9MolcwCfWMlU3XONPJgXBcgY,31,1.0581038069150301,https://www.linkedin.com/in/bryanne-gilkinson-0647b710
